queue	key	label	source	source_id	hint
review-readiness	CHEBI:70664	(2S)-5,7-dihydroxy-6,8-dimethylflavanone	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70660	(2S)-6-formyl-8-methyl-7-O-methylpinocembrin	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70661	(2S)-8-formyl-5-hydroxy-7-methoxy-6-methylflavanone	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70653	(2S,3S)-3,5,7-trihydroxy-6,8-dimethylflavanone	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:83300	(2S,6S)-4-dodecyl-2,6-dimethylmorpholine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66698	(3R,4R)-(−)-6-methoxy-1-oxo-3-n-pentyl-3,4-dihydro-1H-isochromen-4-yl-acetate	CHEBI	PMID:17870137	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:176336	(3R,6Z)-nerolidol	CHEBI	PMID:1602301	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:176337	(3S,6Z)-nerolidol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66291	(3Z)-ravenic acid	CHEBI	PMID:12350167|PMID:20066698	MECHANISM_REVIEW: mechanism is absent; 2 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:42082	(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis[4-(hydroxymethyl)benzyl]-1,3-diazepan-2-one	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66027	(5R)-5-hydroxy-7-(4''-hydroxy-3''-methoxyphenyl)-1-phenyl-3-heptanone	CHEBI	PMID:20091245|PMID:731398	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 2 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:173119	(6Z)-nerolidol	CHEBI	PMID:18266156|PMID:18640201|PMID:21240765|PMID:23294484|PMID:23586988	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:41425	(7R)-7-(4-carboxybutanamido)cephalosporanic acid	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:15838	(7R)-7-(5-carboxy-5-oxopentanamido)cephalosporanic acid	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66586	(7Z)-lobohedleolide	CHEBI	PMID:10785433	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:73708	(9S)-erythromycyclamine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:84328	(9Z)-heptadecenoic acid	CHEBI	PMID:11157268|PMID:14263140|PMID:1854634	MECHANISM_REVIEW: mechanism is absent; 3 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:65768	(9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoic acid	CHEBI	PMID:1632297|PMID:1636161|PMID:21604791|PMID:8377015	MECHANISM_REVIEW: mechanism is absent; 4 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:77474	(9Z,12Z,15Z)-octadecatrien-1-ol	CHEBI	PMID:16186620|PMID:21338674|PMID:6508262|PMID:6763859	MECHANISM_REVIEW: mechanism is absent; 4 source literature lead(s), 0 record evidence item(s), 0 target(s)
